Name,Position,Score
Billy Garrett,SHOOTING GUARD,48.077600000000004
B.J. Johnson,SMALL FORWARD,45.1511
Andrew Harrison,POINT GUARD,43.78745
Mitch Creek,SMALL FORWARD,43.41865
Luc Mbah a Moute,POWER FORWARD,40.13975
DeVaughn Akoon-Purcell,SHOOTING GUARD,39.8761
Chris Chiozza,POINT GUARD,39.78375
Tony Bradley,CENTER,37.7652
Eric Moreland,POWER FORWARD,36.71
Jason Smith,POWER FORWARD,36.4234
Troy Caupain,POINT GUARD,35.74125
Caleb Swanigan,POWER FORWARD,34.435249999999996
Jaylen Morris,SHOOTING GUARD,33.903
Haywood Highsmith,SMALL FORWARD,32.8007
R.J. Hunter,SHOOTING GUARD,32.7006
Wesley Matthews,SHOOTING GUARD,31.0015
Henry Ellenson,POWER FORWARD,30.36255
Gary Payton,POINT GUARD,29.7344
Scott Machado,POINT GUARD,28.3288
Isaiah Hicks,POWER FORWARD,27.3194
Isaiah Canaan,POINT GUARD,26.715000000000003
Justin Patton,CENTER,26.130850000000002
Sviatoslav Mykhailiuk,SMALL FORWARD,25.54375
Nick Young,SHOOTING GUARD,25.52
Pau Gasol,CENTER,24.259550000000004
James Nunnally,SMALL FORWARD,23.4723
John Jenkins,SHOOTING GUARD,23.41
Dusty Hannahs,SHOOTING GUARD,21.53555
Trevon Duval,POINT GUARD,20.52665
J.P. Macura,SHOOTING GUARD,19.66165
Emanuel Terry,POWER FORWARD,19.262700000000002
Jason Smith,CENTER,18.84025
Greg Monroe,CENTER,18.68
Patrick McCaw,SHOOTING GUARD,16.7989
Ron Baker,SHOOTING GUARD,16.79
