Name,Position,Score
Corey Brewer,POWER FORWARD,28.283500000000004
Josh Reaves,SMALL FORWARD,27.68025
KZ Okpala,POWER FORWARD,27.02975
Zach Norvell,SHOOTING GUARD,26.90685
Kostas Antetokounmpo,POWER FORWARD,26.7051
Henry Ellenson,CENTER,26.192149999999998
Marial Shayok,SHOOTING GUARD,26.189999999999998
Jalen Lecque,SHOOTING GUARD,25.618000000000002
Shamorie Ponds,POINT GUARD,25.538249999999998
Caleb Swanigan,CENTER,25.310600000000008
Derrick Walton,POINT GUARD,22.545
Ryan Anderson,CENTER,22.51785
Jonah Bolden,CENTER,22.3219
Chasson Randle,POINT GUARD,21.90385
Matt Mooney,SHOOTING GUARD,19.7925
Dusty Hannahs,SHOOTING GUARD,19.46535
Jordan Bell,CENTER,17.76675
Devontae Cacok,CENTER,17.634999999999998
Kyle Guy,SHOOTING GUARD,16.4
Jarrod Uthoff,POWER FORWARD,15.492700000000001
Eric Mika,CENTER,15.36365
Jamal Crawford,SHOOTING GUARD,15.09125
Tariq Owens,POWER FORWARD,14.872
Tyler Zeller,CENTER,14.747499999999999
Paul Watson,SMALL FORWARD,14.535
Daryl Macon,POINT GUARD,14.165
Stanton Kidd,SHOOTING GUARD,13.700000000000003
Luc Mbah a Moute,POWER FORWARD,13.63125
Jonah Bolden,CENTER,13.41075
Max Strus,SMALL FORWARD,11.606349999999999
Jared Harper,POINT GUARD,11.0925
Joe Chealey,POINT GUARD,10.636349999999998
Kyle Alexander,CENTER,9.8
Isaiah Roby,POWER FORWARD,9.61
Tyler Cook,SMALL FORWARD,9.0147
William Howard,POWER FORWARD,8.535
Jarred Vanderbilt,POWER FORWARD,7.706599999999999
Zach Norvell,SHOOTING GUARD,7.595
Marques Bolden,CENTER,6.93
Jacob Evans,SHOOTING GUARD,6.04
Josh Gray,POINT GUARD,4.484999999999999
J.P. Macura,SHOOTING GUARD,3.01
Malik Newman,SHOOTING GUARD,1.15735
